mets
h
h2o
na1
atp
coa
pi
adp
hco3
nadp
nadph
o2
nad
nadh
crn
accoa
ppi
amp
udp
h2o2
co2
fadh2
cl
so4
nh4
amet
Rtotal2
Rtotal
k
so3
q10
q10h2
btn
fol
retinol
o2s
i
fe2
pnto_R
oh1
fad
gthrd
HC02199
HC02200
HC02201
cgly
alaargcys
alaarggly
alaasnleu
alaglylys
alahisala
alalysthr
argalaala
argalaphe
argalathr
argarg
argarglys
argargmet
argcysgly
argcysser
arggluglu
argglupro
argglygly
arghisthr
argleuphe
arglysasp
argphearg
argpromet
argprothr
argserser
argtyrval
argvalcys
argvaltrp
asnasnarg
asncyscys
asnmetpro
asnpheasp
asnphecys
asntyrgly
asntyrphe
asntyrthr
aspalaarg
aspasnglu
aspglu
aspglupro
aspglutrp
asphiscys
asphispro
asplysglu
asplyshis
aspmetasp
aspprolys
aspvalasn
cysasnmet
cysaspphe
cyscys
cysglnmet
cysgluhis
cysglutrp
cysleuthr
cyssermet
cystyrasn
glnasngln
glnhishis
glnhislys
glnlyslys
glnlystrp
glnproglu
glntrpglu
glntyrleu
gluargleu
gluasnleu
gluglu
gluilelys
gluleu
glumet
glumethis
gluthr
gluthrlys
glutrpala
glyhisasn
glyhislys
glylyscys
glylysphe
glytyrlys
glyvalhis
hisargcys
hisargser
hisasp
hiscyscys
hisglnala
hisglu
hisglugln
hisglylys
hishislys
hislysala
hislysglu
hislysile
hislysthr
hislysval
hismet
hismetgln
hisphearg
hisprolys
histrphis
ileargile
ileasnhis
ileasp
ileglnglu
ileglyarg
ileprolys
ileserarg
iletrptyr
leualaarg
leuasnasp
leuasplys
leuleutrp
leupro
leuproarg
leusertrp
leutrp
leutrparg
leutyrtyr
leuval
lysargleu
lyscyshis
lysglnphe
lysgluglu
lyslyslys
lyspheile
lystrparg
lystyrile
lysvalphe
lysvaltrp
metargleu
metasntyr
metglntyr
metglyarg
methislys
metmetile
metphearg
mettrpphe
pheasnmet
pheasp
pheglnphe
pheleu
pheleuasp
pheleuhis
phelysala
phelyspro
phephe
phepheasn
phephethr
pheproarg
phesertrp
phethrlys
phetrpleu
phetyr
phetyrgln
phetyrlys
proargasp
proargcys
proasncys
procys
proglnpro
proglulys
prohis
prohistyr
proleuarg
prolyspro
prophe
proproarg
propropro
protrplys
protrpthr
provalgln
serargala
serargtrp
sercysarg
serglyglu
serlyshis
serphelys
sertrphis
thrargtyr
thrasntyr
thrglnglu
thrglntyr
thrhishis
thrilearg
thrmetarg
thrphearg
thrserarg
thrthrarg
thrtyrmet
trpalapro
trpargala
trpaspasp
trpglngln
trpglugly
trpgluleu
trpglupro
trpglutyr
trpglyleu
trpglyphe
trpglyval
trphismet
trpilelys
trpiletrp
trpleuval
trplys
trpmetarg
trpmetval
trpphe
trpprogly
trpproleu
trpproval
trpsertyr
trpthrglu
trpthrile
trpthrtyr
trptyrgln
trptyrtyr
trpvalasp
tyrala
tyralaphe
tyrargglu
tyrargser
tyrasparg
tyrcysgly
tyrcysthr
tyrglu
tyrleuarg
tyrphetyr
tyrthr
tyrtrpphe
tyrtyr
tyrvalmet
valarggly
valhisasn
valleuphe
vallystyr
valphearg
valprotrp
valserarg
valtrpphe
valtrpval
valval
trpglyasp
